model,rmse,mae,nrmse,accuracy
LSTM,0.2479600969483609,0.20626940537808702,0.2733919017635774,61.829069952086584
GRU,0.25050475013576035,0.21099603188018753,0.27619754502147936,61.737714935373084
DT,0.07339776938368134,0.05112863087532005,0.08092574573072557,92.26925017015618
