step,absolute_error
0,0.05232558139534882
1,0.03287890938251803
2,0.027265437048917374
3,0.015838011226944726
4,0.011828388131515655
5,0.2605920876770918
6,0.04170008019246185
7,0.008592049490204978
8,0.18216218925421002
9,0.007618283881315163
10,0.043178628708901434
11,0.10036587810745778
12,0.04677893611333872
13,0.05055466452820101
14,0.08398337828971347
15,0.2075648222400427
16,0.010825982357658387
17,0.010425020048115463
18,0.06094627105052122
19,0.0243250467789361
20,0.0256950013365409
21,0.34479417268110135
22,0.46137396418070026
23,0.03501737503341351
24,0.09329056402031527
25,0.08099438652766638
26,0.09262229350441065
27,0.0040096230954290435
28,0.05987703822507362
29,0.0935578722266775
30,0.03560545308740981
31,0.06748696872493976
32,0.16479550922213315
33,0.16451984763432226
34,0.016840417000801966
35,0.08126169473402828
36,0.024258219727345653
37,0.0850040096230954
38,0.16577968943646568
39,0.11120021384656514
40,0.06174819566960707
41,0.015236567762630271
42,0.008854584335739046
43,0.09943865276663999
44,0.011193531141406088
45,0.010024057738572623
46,0.18768377439187367
47,0.006816359262229343
48,0.09810211173483013
49,0.0850040096230954
50,0.015236567762630271
51,0.00011456065986940878
52,0.04012964448008549
53,0.06739508152900286
54,0.1682705159048382
55,0.2590550654905105
56,0.25629510825982355
57,0.1269227965298535
58,0.013747279184328096
59,0.027265437048917485
60,0.05349982815901011
61,0.016807003475006743
62,0.011193531141406088
63,0.06174819566960707
64,0.030072173215717757
65,0.012830793905372895
66,0.03909382518043303
67,0.08664127238706221
68,0.06266468094856224
69,0.17494486768243778
70,0.05199979951884526
71,0.014559943865276592
72,0.26130212510024065
73,0.0037423148890670666
74,0.1331194867682438
75,0.19165998396150763
76,0.030506549051055765
77,0.0363539160652232
78,0.027265437048917374
79,0.014468056669339702
80,0.33172948409516184
81,0.04006281742849516
82,0.003884322373696958
83,0.12256081261694729
84,0.009302325581395321
85,0.14367816091954022
86,0.023474520667784493
87,0.04891740176423415
88,0.0013365410318096904
89,0.06629243517776001
90,0.1243317294840951
91,0.04262730553327976
92,0.027298850574712596
93,0.030072173215717757
94,0.14287623630045443
95,0.06335204490777868
96,0.09529537556802992
97,0.010425020048115491
98,0.21078087409783486
99,0.08206361935311407
100,0.01603849238171612
101,0.10348168938786417
102,0.014468056669339702
103,0.3127171879176691
104,0.08674151296444799
105,0.06335204490777863
106,0.01822555952467736
107,0.04824077786688041
108,0.03845896819032357
109,0.27358159582999186
110,0.2504677893611333
111,0.04111686228767225
112,0.0005728032993469467
113,0.04021079161415973
114,0.2847166533012563
115,0.043980553327987226
116,0.021618551189521606
117,0.004844961240309975
118,0.10050788559208768
119,0.05834001603849237
120,0.05199979951884526
121,0.027265437048917374
122,0.19955392943063366
123,0.11280406308473684
124,0.03147554129911789
125,0.02177726543704883
126,0.007618283881315163
127,0.2813502405773858
128,0.29697941726811
129,0.16175965173559392
130,0.016715116279069853
131,0.23412857524726016
132,0.08634055065490526
133,0.13475674953221062
134,0.11360598770382263
135,0.07778668805132319
136,0.1701333199679229
137,0.20766506281742858
138,0.010425020048115463
139,0.03941960705693659
140,0.005613472333600655
141,0.004134923817161074
142,0.010024057738572512
143,0.1347233360064154
144,0.1668003207698476
145,0.3624365143009891
146,0.10333371520219954
147,0.03275360866078603
148,0.06980085538626024
149,0.0008353381448810149
150,0.12723870622828132
151,0.024859663191659997
152,0.08847901630580057
153,0.04891740176423409
154,0.1852780005346163
155,0.012154170008019216
156,0.010425020048115408
157,0.0036888532477946656
158,0.09262229350441054
159,0.13178294573643395
160,0.015236567762630271
161,0.1376102646351242
162,0.08592049490205066
163,0.17719192729216793
164,0.09646007561003556
165,0.02165196471531683
166,0.38168270515904845
167,0.024993317294841
168,0.09245045251460648
169,0.06348569901095968
170,0.37212643678160917
171,0.047188251804330505
172,0.07140470462443183
173,0.11039828922747935
174,0.004330392943063366
175,0.017040898155573303
176,0.10107591553060669
177,0.12429831595829988
178,0.03528468323977546
179,0.21042502004811553
180,0.03551380455951425
181,0.09932409210677053
182,0.10909516172146483
183,0.010825982357658387
184,0.0318582780491361
185,0.00654905105586745
186,0.26896551724137935
187,0.028601978080727064
188,0.04891740176423409
189,0.011995455760491991
190,0.028067361668003193
191,0.020582731889869033
192,0.005613472333600655
193,0.03207698476343224
194,0.16035151029136607
195,0.05934242181234961
196,0.012563485699011057
197,0.08548516439454684
198,0.1699746057203957
199,0.041700080192461964
200,0.0040096230954290435
201,0.006816359262229343
202,0.15690991713445607
203,0.1325362688634541
204,0.08753508420208489
205,0.1647955092221331
206,0.2532828789093826
207,0.24045208500400972
208,0.11800821972734554
209,0.056260024057738445
210,0.11601176156108
211,0.17639000267308214
212,0.15557337610264632
213,0.1965049452018176
214,0.006196690238390312
215,0.1605102245388933
216,0.001637262763966807
217,0.1472868217054264
218,0.06899893076717445
219,0.0850040096230954
220,0.03987752423999413
221,3.341352579511181e-05
222,0.050387596899224785
223,0.02694466720128308
224,0.056669339748730396
225,0.02187067142961291
226,0.0008019246190858198
227,0.16282411120021378
228,0.1331194867682438
229,0.08099438652766638
230,0.1347567495322105
231,0.0850040096230954
232,0.12269446672012829
233,0.17575514568297246
234,0.009623095429029643
235,0.02566158781074579
