SCATS Number,Location,day,month,year,day_of_week,flow_9to10
4040,BURKE_RD N of RIVERSDALE_RD,31,10,2006,1,450
4034,BURKE_RD N OF WHITEHORSE_RD,18,10,2006,2,1159
4030,BURKE_RD S of DONCASTER_RD,21,10,2006,5,876
4032,BURKE_RD N of HARP_RD,13,10,2006,4,959
3126,CANTERBURY_RD E of WARRIGAL_RD,29,10,2006,6,615
4035,BURKE_RD N of MONT ALBERT_RD,7,10,2006,5,928
3126,CANTERBURY_RD E of WARRIGAL_RD,5,10,2006,3,1343
3180,BALWYN_RD S of DONCASTER_RD,24,10,2006,1,417
4032,BURKE_RD N of HARP_RD,18,10,2006,2,931
4040,BURKE_RD N of RIVERSDALE_RD,3,10,2006,1,465
3120,BURKE_RD N of CANTERBURY_RD,20,10,2006,4,957
4030,BURKE_RD S of DONCASTER_RD,23,10,2006,0,911
3126,CANTERBURY_RD E of WARRIGAL_RD,18,10,2006,2,1214
4043,BURKE_RD N of TOORAK_RD,21,10,2006,5,843
4043,BURKE_RD N of TOORAK_RD,10,10,2006,1,936
3126,CANTERBURY_RD E of WARRIGAL_RD,11,10,2006,2,1226
3120,BURKE_RD N of CANTERBURY_RD,16,10,2006,0,917
3120,BURKE_RD N of CANTERBURY_RD,11,10,2006,2,894
4040,BURKE_RD N of RIVERSDALE_RD,27,10,2006,4,490
4035,BURKE_RD N of MONT ALBERT_RD,22,10,2006,6,667
3180,BALWYN_RD S of DONCASTER_RD,5,10,2006,3,418
3126,CANTERBURY_RD E of WARRIGAL_RD,7,10,2006,5,883
4035,BURKE_RD N of MONT ALBERT_RD,24,10,2006,1,1048
3122,CANTERBURY_RD E of STANHOPE_GV,7,10,2006,5,994
3120,BURKE_RD N of CANTERBURY_RD,17,10,2006,1,927
3122,CANTERBURY_RD E of STANHOPE_GV,25,10,2006,2,1432
4030,BURKE_RD S of DONCASTER_RD,31,10,2006,1,895
4043,BURKE_RD N of TOORAK_RD,1,10,2006,6,626
3126,CANTERBURY_RD E of WARRIGAL_RD,6,10,2006,4,1192
3180,BALWYN_RD S of DONCASTER_RD,19,10,2006,3,408
3126,CANTERBURY_RD E of WARRIGAL_RD,8,10,2006,6,678
3122,CANTERBURY_RD E of STANHOPE_GV,1,10,2006,6,698
4032,BURKE_RD N of HARP_RD,29,10,2006,6,586
4032,BURKE_RD N of HARP_RD,3,10,2006,1,1022
4035,BURKE_RD N of MONT ALBERT_RD,21,10,2006,5,956
4030,BURKE_RD S of DONCASTER_RD,1,10,2006,6,503
3120,BURKE_RD N of CANTERBURY_RD,19,10,2006,3,965
4040,BURKE_RD N of RIVERSDALE_RD,11,10,2006,2,468
3180,BALWYN_RD S of DONCASTER_RD,4,10,2006,2,438
4030,BURKE_RD S of DONCASTER_RD,16,10,2006,0,1001
4030,BURKE_RD S of DONCASTER_RD,9,10,2006,0,890
3126,CANTERBURY_RD E of WARRIGAL_RD,25,10,2006,2,1282
